exp1_name,exp2_name,k,final_MkNN
mlp_5_256_muon,mlp_5_256_muon2,45,0.16793334484100342
mlp_5_256_muon,mlp_5_256_muon2,46,0.17043478786945343
mlp_5_256_muon,mlp_5_256_muon2,47,0.17308510839939117
mlp_5_256_muon,mlp_5_256_muon2,48,0.17599999904632568
mlp_5_256_muon,mlp_5_256_muon2,49,0.17759183049201965
mlp_5_256_muon,mlp_5_256_muon2,50,0.18001998960971832
mlp_5_256_muon,mlp_5_256_muon2,51,0.18213725090026855
mlp_5_256_muon,mlp_5_256_muon2,52,0.18457691371440887
mlp_5_256_muon,mlp_5_256_muon2,53,0.1863396316766739
mlp_5_256_muon,mlp_5_256_muon2,54,0.1884259134531021
mlp_5_256_muon,mlp_5_256_muon2,55,0.19045454263687134
mlp_5_256_muon,mlp_5_256_muon2,56,0.19232143461704254
mlp_5_256_muon,mlp_5_256_muon2,57,0.19435085356235504
mlp_5_256_muon,mlp_5_256_muon2,58,0.1965172439813614
mlp_5_256_muon,mlp_5_256_muon2,59,0.19842374324798584
mlp_5_256_muon,mlp_5_256_muon2,60,0.2004999816417694
mlp_5_256_muon,mlp_5_256_muon2,61,0.20250818133354187
mlp_5_256_muon,mlp_5_256_muon2,62,0.2047419250011444
mlp_5_256_muon,mlp_5_256_muon2,63,0.20677781105041504
mlp_5_256_muon,mlp_5_256_muon2,64,0.20909374952316284
mlp_5_256_muon,mlp_5_256_muon2,65,0.21140000224113464
mlp_5_256_muon,mlp_5_256_muon2,66,0.21330302953720093
mlp_5_256_muon,mlp_5_256_muon2,67,0.21543283760547638
mlp_5_256_muon,mlp_5_256_muon2,68,0.21704412996768951
mlp_5_256_muon,mlp_5_256_muon2,69,0.21850723028182983
mlp_5_256_muon,mlp_5_256_muon2,70,0.22017143666744232
mlp_5_256_muon,mlp_5_256_muon2,71,0.22249294817447662
mlp_5_256_muon,mlp_5_256_muon2,72,0.2239583432674408
mlp_5_256_muon,mlp_5_256_muon2,73,0.22580823302268982
mlp_5_256_muon,mlp_5_256_muon2,74,0.22751352190971375
mlp_5_256_muon,mlp_5_256_muon2,75,0.22934667766094208
mlp_5_256_muon,mlp_5_256_muon2,76,0.23076315224170685
mlp_5_256_muon,mlp_5_256_muon2,77,0.23258443176746368
mlp_5_256_muon,mlp_5_256_muon2,78,0.23451285064220428
mlp_5_256_muon,mlp_5_256_muon2,79,0.23597466945648193
mlp_5_256_muon,mlp_5_256_muon2,80,0.23736251890659332
mlp_5_256_muon,mlp_5_256_muon2,81,0.23898765444755554
mlp_5_256_muon,mlp_5_256_muon2,82,0.24085365235805511
mlp_5_256_muon,mlp_5_256_muon2,83,0.24231325089931488
mlp_5_256_muon,mlp_5_256_muon2,84,0.243964284658432
mlp_5_256_muon,mlp_5_256_muon2,85,0.24501177668571472
mlp_5_256_muon,mlp_5_256_muon2,86,0.24663953483104706
mlp_5_256_muon,mlp_5_256_muon2,87,0.2482643574476242
mlp_5_256_muon,mlp_5_256_muon2,88,0.24989771842956543
mlp_5_256_muon,mlp_5_256_muon2,89,0.2513595223426819
mlp_5_256_muon,mlp_5_256_muon2,90,0.25298890471458435
mlp_5_256_muon,mlp_5_256_muon2,91,0.2549121081829071
mlp_5_256_muon,mlp_5_256_muon2,92,0.2563043534755707
mlp_5_256_muon,mlp_5_256_muon2,93,0.25756990909576416
mlp_5_256_muon,mlp_5_256_muon2,94,0.25890427827835083
mlp_5_256_muon,mlp_5_256_muon2,95,0.26029470562934875
mlp_5_256_muon,mlp_5_256_muon2,96,0.262010395526886
mlp_5_256_muon,mlp_5_256_muon2,97,0.26343294978141785
mlp_5_256_muon,mlp_5_256_muon2,98,0.2651122212409973
mlp_5_256_muon,mlp_5_256_muon2,99,0.266696959733963
mlp_5_256_adam,mlp_5_256_adam2,1,0.014000000432133675
mlp_5_256_adam,mlp_5_256_adam2,2,0.03099999949336052
mlp_5_256_adam,mlp_5_256_adam2,3,0.039000000804662704
mlp_5_256_adam,mlp_5_256_adam2,4,0.04749999940395355
mlp_5_256_adam,mlp_5_256_adam2,5,0.052800003439188004
mlp_5_256_adam,mlp_5_256_adam2,6,0.06200000271201134
mlp_5_256_adam,mlp_5_256_adam2,7,0.07185714691877365
mlp_5_256_adam,mlp_5_256_adam2,8,0.07724999636411667
mlp_5_256_adam,mlp_5_256_adam2,9,0.08577778935432434
mlp_5_256_adam,mlp_5_256_adam2,10,0.09050001204013824
mlp_5_256_adam,mlp_5_256_adam2,11,0.0950000062584877
mlp_5_256_adam,mlp_5_256_adam2,12,0.10225000232458115
mlp_5_256_adam,mlp_5_256_adam2,13,0.10730770230293274
mlp_5_256_adam,mlp_5_256_adam2,14,0.11335715651512146
mlp_5_256_adam,mlp_5_256_adam2,15,0.11866667866706848
mlp_5_256_adam,mlp_5_256_adam2,16,0.12425000220537186
mlp_5_256_adam,mlp_5_256_adam2,17,0.1304706186056137
mlp_5_256_adam,mlp_5_256_adam2,18,0.13544446229934692
mlp_5_256_adam,mlp_5_256_adam2,19,0.14052630960941315
mlp_5_256_adam,mlp_5_256_adam2,20,0.14669999480247498
mlp_5_256_adam,mlp_5_256_adam2,21,0.15042859315872192
mlp_5_256_adam,mlp_5_256_adam2,22,0.1562272608280182
mlp_5_256_adam,mlp_5_256_adam2,23,0.1604347825050354
mlp_5_256_adam,mlp_5_256_adam2,24,0.16495832800865173
mlp_5_256_adam,mlp_5_256_adam2,25,0.16864000260829926
mlp_5_256_adam,mlp_5_256_adam2,26,0.17376922070980072
mlp_5_256_adam,mlp_5_256_adam2,27,0.17811112105846405
mlp_5_256_adam,mlp_5_256_adam2,28,0.1819285750389099
mlp_5_256_adam,mlp_5_256_adam2,29,0.18589654564857483
mlp_5_256_adam,mlp_5_256_adam2,30,0.18916666507720947
mlp_5_256_adam,mlp_5_256_adam2,31,0.1922903209924698
mlp_5_256_adam,mlp_5_256_adam2,32,0.19581249356269836
mlp_5_256_adam,mlp_5_256_adam2,33,0.19963636994361877
mlp_5_256_adam,mlp_5_256_adam2,34,0.20350001752376556
mlp_5_256_adam,mlp_5_256_adam2,35,0.20751430094242096
mlp_5_256_adam,mlp_5_256_adam2,36,0.210999995470047
mlp_5_256_adam,mlp_5_256_adam2,37,0.21432432532310486
mlp_5_256_adam,mlp_5_256_adam2,38,0.21836842596530914
mlp_5_256_adam,mlp_5_256_adam2,39,0.22182053327560425
mlp_5_256_adam,mlp_5_256_adam2,40,0.22487500309944153
mlp_5_256_adam,mlp_5_256_adam2,41,0.22814632952213287
mlp_5_256_adam,mlp_5_256_adam2,42,0.23140475153923035
mlp_5_256_adam,mlp_5_256_adam2,43,0.23386047780513763
mlp_5_256_adam,mlp_5_256_adam2,44,0.23718182742595673
mlp_5_256_adam,mlp_5_256_adam2,45,0.23953333497047424
mlp_5_256_adam,mlp_5_256_adam2,46,0.24280434846878052
mlp_5_256_adam,mlp_5_256_adam2,47,0.24534043669700623
mlp_5_256_adam,mlp_5_256_adam2,48,0.24814584851264954
mlp_5_256_adam,mlp_5_256_adam2,49,0.25104081630706787
mlp_5_256_adam,mlp_5_256_adam2,50,0.25360000133514404
mlp_5_256_adam,mlp_5_256_adam2,51,0.2563137412071228
mlp_5_256_adam,mlp_5_256_adam2,52,0.25917306542396545
mlp_5_256_adam,mlp_5_256_adam2,53,0.26173582673072815
mlp_5_256_adam,mlp_5_256_adam2,54,0.26401856541633606
mlp_5_256_adam,mlp_5_256_adam2,55,0.26681816577911377
mlp_5_256_adam,mlp_5_256_adam2,56,0.2692321538925171
mlp_5_256_adam,mlp_5_256_adam2,57,0.2723158001899719
mlp_5_256_adam,mlp_5_256_adam2,58,0.2742586135864258
mlp_5_256_adam,mlp_5_256_adam2,59,0.2767288088798523
mlp_5_256_adam,mlp_5_256_adam2,60,0.27879998087882996
mlp_5_256_adam,mlp_5_256_adam2,61,0.28054097294807434
mlp_5_256_adam,mlp_5_256_adam2,62,0.28295159339904785
mlp_5_256_adam,mlp_5_256_adam2,63,0.2852063477039337
mlp_5_256_adam,mlp_5_256_adam2,64,0.2873281240463257
mlp_5_256_adam,mlp_5_256_adam2,65,0.2892000079154968
mlp_5_256_adam,mlp_5_256_adam2,66,0.29178786277770996
mlp_5_256_adam,mlp_5_256_adam2,67,0.29365670680999756
mlp_5_256_adam,mlp_5_256_adam2,68,0.29552942514419556
mlp_5_256_adam,mlp_5_256_adam2,69,0.2981594204902649
mlp_5_256_adam,mlp_5_256_adam2,70,0.30065715312957764
mlp_5_256_adam,mlp_5_256_adam2,71,0.3026901185512543
mlp_5_256_adam,mlp_5_256_adam2,72,0.30420833826065063
mlp_5_256_adam,mlp_5_256_adam2,73,0.3058082163333893
mlp_5_256_adam,mlp_5_256_adam2,74,0.30732429027557373
mlp_5_256_adam,mlp_5_256_adam2,75,0.3091199994087219
mlp_5_256_adam,mlp_5_256_adam2,76,0.31122368574142456
mlp_5_256_adam,mlp_5_256_adam2,77,0.3134155869483948
mlp_5_256_adam,mlp_5_256_adam2,78,0.3156026005744934
mlp_5_256_adam,mlp_5_256_adam2,79,0.3176329433917999
mlp_5_256_adam,mlp_5_256_adam2,80,0.3195750117301941
mlp_5_256_adam,mlp_5_256_adam2,81,0.3213210105895996
mlp_5_256_adam,mlp_5_256_adam2,82,0.3231097459793091
mlp_5_256_adam,mlp_5_256_adam2,83,0.3253493905067444
mlp_5_256_adam,mlp_5_256_adam2,84,0.3272381126880646
mlp_5_256_adam,mlp_5_256_adam2,85,0.3291529417037964
mlp_5_256_adam,mlp_5_256_adam2,86,0.3309767544269562
mlp_5_256_adam,mlp_5_256_adam2,87,0.3328850567340851
mlp_5_256_adam,mlp_5_256_adam2,88,0.3348182141780853
mlp_5_256_adam,mlp_5_256_adam2,89,0.33650562167167664
mlp_5_256_adam,mlp_5_256_adam2,90,0.33811110258102417
mlp_5_256_adam,mlp_5_256_adam2,91,0.33974725008010864
mlp_5_256_adam,mlp_5_256_adam2,92,0.34105435013771057
mlp_5_256_adam,mlp_5_256_adam2,93,0.3424730896949768
mlp_5_256_adam,mlp_5_256_adam2,94,0.3439149260520935
mlp_5_256_adam,mlp_5_256_adam2,95,0.3452736735343933
mlp_5_256_adam,mlp_5_256_adam2,96,0.3465104103088379
mlp_5_256_adam,mlp_5_256_adam2,97,0.34808245301246643
mlp_5_256_adam,mlp_5_256_adam2,98,0.3497653305530548
mlp_5_256_adam,mlp_5_256_adam2,99,0.3513939082622528
